ride_id,rider_id,driver_id,ride_date,pickup_location,drop_location,distance_km,ride_status,pickup_time,dropoff_time
1,172,387,2025-08-08 20:14:55,"Rajouri Garden, Delhi","Lajpat Nagar, Delhi",22.73,Completed,2025-08-09 16:03:55,2025-08-09 16:49:22.600
2,302,396,2025-04-19 19:14:49,"Ghatkopar, Mumbai","Bandra, Mumbai",14.22,Completed,2025-04-20 06:07:49,2025-04-20 06:36:15.400
3,594,244,2025-10-25 18:30:06,"Kalyani Nagar, Pune","Hinjewadi, Pune",4.61,Cancelled,2025-10-26 08:08:06,2025-10-26 08:18:06.000
4,30,365,2025-11-01 14:22:57,"Colaba, Mumbai","Ghatkopar, Mumbai",11.58,Cancelled,2025-11-01 19:14:57,2025-11-01 19:38:06.600
5,236,177,2026-02-22 07:28:07,"MG Road, Bangalore","Whitefield, Bangalore",14.7,Cancelled,2026-02-23 04:42:07,2026-02-23 05:11:31.000
6,457,392,2025-10-19 05:38:23,"Shivajinagar, Pune","Viman Nagar, Pune",7.33,Cancelled,2025-10-19 11:42:23,2025-10-19 11:57:02.600
7,378,168,2025-05-27 02:01:12,"Ameerpet, Hyderabad","Secunderabad, Hyderabad",5.94,Completed,2025-05-27 22:34:12,2025-05-27 22:46:04.800
8,582,285,2025-09-06 07:20:06,"MG Road, Bangalore","Yelahanka, Bangalore",9.77,Completed,2025-09-06 18:29:06,2025-09-06 18:48:38.400
9,362,70,2025-09-08 06:44:39,"Whitefield, Bangalore","Hebbal, Bangalore",2.29,Cancelled,2025-09-08 08:39:39,2025-09-08 08:49:39.000
10,330,182,2026-01-08 19:36:59,"Hinjewadi, Pune","Viman Nagar, Pune",22.64,Completed,2026-01-09 16:44:59,2026-01-09 17:30:15.800
11,461,242,2025-05-06 08:24:05,"Ameerpet, Hyderabad","Hitech City, Hyderabad",3.44,Completed,2025-05-06 08:38:05,2025-05-06 08:48:05.000
12,11,302,2025-12-30 18:06:58,"Koregaon Park, Pune","Shivajinagar, Pune",22.7,Completed,2025-12-31 02:50:58,2025-12-31 03:36:22.000
13,299,214,2025-03-22 18:26:40,"Hadapsar, Pune","Viman Nagar, Pune",8.65,Completed,2025-03-23 02:18:40,2025-03-23 02:35:58.000
14,156,69,2025-08-19 00:58:08,"Connaught Place, Delhi","Lajpat Nagar, Delhi",12.07,Cancelled,2025-08-19 13:11:08,2025-08-19 13:35:16.400
15,21,317,2025-10-18 10:21:48,"Yelahanka, Bangalore","Indiranagar, Bangalore",11.92,Completed,2025-10-19 05:52:48,2025-10-19 06:16:38.400
16,99,329,2025-03-20 13:31:28,"Saket, Delhi","Vasant Kunj, Delhi",4.38,Completed,2025-03-20 19:57:28,2025-03-20 20:07:28.000
17,351,217,2025-07-08 00:23:03,"MG Road, Bangalore","Indiranagar, Bangalore",7.33,Cancelled,2025-07-08 03:28:03,2025-07-08 03:42:42.600
18,352,304,2025-12-05 12:42:36,"Lajpat Nagar, Delhi","Karol Bagh, Delhi",14.26,Completed,2025-12-06 09:06:36,2025-12-06 09:35:07.200
19,467,158,2026-01-02 10:18:32,"Hitech City, Hyderabad","Madhapur, Hyderabad",18.73,Cancelled,2026-01-03 00:25:32,2026-01-03 01:02:59.600
20,512,197,2025-08-09 04:15:25,"Koregaon Park, Pune","Hinjewadi, Pune",17.51,Completed,2025-08-09 06:55:25,2025-08-09 07:30:26.200
21,540,152,2025-06-14 12:13:30,"Andheri, Mumbai","Ghatkopar, Mumbai",12.48,Cancelled,2025-06-14 19:57:30,2025-06-14 20:22:27.600
22,380,290,2025-08-27 07:30:22,"Andheri, Mumbai","Dadar, Mumbai",11.88,Completed,2025-08-27 12:28:22,2025-08-27 12:52:07.600
23,87,312,2025-12-02 15:29:27,"Whitefield, Bangalore","Koramangala, Bangalore",6.32,Completed,2025-12-03 02:35:27,2025-12-03 02:48:05.400
24,24,260,2025-07-28 09:22:46,"Kalyani Nagar, Pune","Aundh, Pune",16.48,Completed,2025-07-29 01:35:46,2025-07-29 02:08:43.600
25,363,28,2025-04-16 22:37:20,"Viman Nagar, Pune","Shivajinagar, Pune",5.74,Completed,2025-04-17 16:39:20,2025-04-17 16:50:48.800
26,51,56,2025-04-27 10:39:59,"Aundh, Pune","Kalyani Nagar, Pune",9.83,Completed,2025-04-27 14:23:59,2025-04-27 14:43:38.600
27,401,180,2025-05-03 04:13:48,"Juhu, Mumbai","Andheri, Mumbai",5.16,Cancelled,2025-05-03 12:10:48,2025-05-03 12:21:07.200
28,334,20,2025-11-19 03:05:25,"Bandra, Mumbai","Andheri, Mumbai",14.29,Completed,2025-11-19 08:00:25,2025-11-19 08:28:59.800
29,278,97,2026-01-08 08:18:01,"Dadar, Mumbai","Bandra, Mumbai",6.03,Completed,2026-01-09 05:06:01,2026-01-09 05:18:04.600
30,198,196,2025-11-06 21:26:42,"Ghatkopar, Mumbai","Bandra, Mumbai",19.56,Completed,2025-11-07 02:08:42,2025-11-07 02:47:49.200
31,154,357,2025-08-25 10:12:37,"Juhu, Mumbai","Powai, Mumbai",7.47,Completed,2025-08-26 05:17:37,2025-08-26 05:32:33.400
32,37,370,2025-09-10 07:43:06,"Yelahanka, Bangalore","Hebbal, Bangalore",11.57,Cancelled,2025-09-10 16:42:06,2025-09-10 17:05:14.400
33,310,126,2025-12-29 05:04:40,"Indiranagar, Bangalore","Koramangala, Bangalore",19.37,Completed,2025-12-29 15:54:40,2025-12-29 16:33:24.400
34,499,300,2025-08-04 10:15:09,"Dwarka, Delhi","Saket, Delhi",20.48,Completed,2025-08-05 08:08:09,2025-08-05 08:49:06.600
35,304,218,2026-01-22 04:59:55,"Hinjewadi, Pune","Kalyani Nagar, Pune",22.87,Completed,2026-01-22 16:33:55,2026-01-22 17:19:39.400
36,324,388,2025-11-13 20:57:39,"Madhapur, Hyderabad","Ameerpet, Hyderabad",21.71,Cancelled,2025-11-14 16:10:39,2025-11-14 16:54:04.200
37,321,180,2025-05-28 20:48:05,"Juhu, Mumbai","Ghatkopar, Mumbai",2.85,Cancelled,2025-05-29 05:44:05,2025-05-29 05:54:05.000
38,306,297,2025-11-09 17:04:07,"MG Road, Bangalore","Jayanagar, Bangalore",11.47,Cancelled,2025-11-09 18:59:07,2025-11-09 19:22:03.400
39,553,15,2025-03-14 22:01:37,"Shivajinagar, Pune","Viman Nagar, Pune",16.1,Completed,2025-03-15 02:43:37,2025-03-15 03:15:49.000
40,255,394,2025-03-12 21:13:12,"Ameerpet, Hyderabad","Madhapur, Hyderabad",6.93,Completed,2025-03-13 20:09:12,2025-03-13 20:23:03.600
41,24,327,2026-01-14 12:31:39,"Karol Bagh, Delhi","Vasant Kunj, Delhi",24.09,Cancelled,2026-01-14 16:54:39,2026-01-14 17:42:49.800
42,178,266,2025-11-01 01:47:15,"Viman Nagar, Pune","Hadapsar, Pune",7.19,Completed,2025-11-01 10:41:15,2025-11-01 10:55:37.800
